measure,estimation,outcome,n_papers,n_journals,support_papers,support_journals,coverage,mean_broad,mean_specialized,contrast,ci_low,ci_high
hhi,raw,total_citations,2115800,27660,1554279,26091,0.7346058228566027,9.834833627540222,8.789741536526998,-1.045092091013224,,
hhi,standardized,total_citations,2115800,27660,1554279,26091,0.7346058228566027,11.797687127005844,11.01564260958516,-0.7820445174206831,-2.2430846776033095,0.20302469267699405
hhi,raw,within_subfield,2115800,27660,1554279,26091,0.7346058228566027,4.58695986116829,4.938148373045089,0.3511885118767992,,
hhi,standardized,within_subfield,2115800,27660,1554279,26091,0.7346058228566027,5.653443165410341,5.913781051194189,0.26033788578384787,-0.5710999265024133,0.6613921262914151
hhi,raw,cross_subfield,2115800,27660,1554279,26091,0.7346058228566027,1.4862840484857636,1.26644132220742,-0.21984272627834356,,
hhi,standardized,cross_subfield,2115800,27660,1554279,26091,0.7346058228566027,1.8572306371673606,1.595530643563791,-0.26169999360356955,-0.5200215570009002,-0.06374934260016714
hhi,raw,cross_field,2115800,27660,1554279,26091,0.7346058228566027,3.761305313016526,2.584835430620564,-1.176469882395962,,
hhi,standardized,cross_field,2115800,27660,1554279,26091,0.7346058228566027,4.286644536969699,3.505996333174731,-0.7806482037949678,-1.1956162947064546,-0.4194559097355844
entropy,raw,total_citations,2259962,29616,1617499,27812,0.7157195563465226,10.435032774361936,8.439542842966446,-1.9954899313954897,,
entropy,standardized,total_citations,2259962,29616,1617499,27812,0.7157195563465226,11.44932727866152,10.774482031668057,-0.6748452469934634,-1.7280405814924624,0.20744321414565028
entropy,raw,within_subfield,2259962,29616,1617499,27812,0.7157195563465226,4.9912138056492354,4.825246254729162,-0.16596755092007331,,
entropy,standardized,within_subfield,2259962,29616,1617499,27812,0.7157195563465226,5.666577867717592,5.959187084083755,0.2926092163661629,-0.36146755968506916,0.6618544394713912
entropy,raw,cross_subfield,2259962,29616,1617499,27812,0.7157195563465226,1.5123993483724238,1.1940086943283885,-0.3183906540440353,,
entropy,standardized,cross_subfield,2259962,29616,1617499,27812,0.7157195563465226,1.7625634424822254,1.5232163294870515,-0.23934711299517386,-0.41293977035741625,-0.07793400630790943
entropy,raw,cross_field,2259962,29616,1617499,27812,0.7157195563465226,3.9311224991388585,2.41998342326494,-1.5111390758739183,,
entropy,standardized,cross_field,2259962,29616,1617499,27812,0.7157195563465226,4.019821008026662,3.291770654814791,-0.7280503532118714,-1.036812843304216,-0.422482737012237
