rq,estimand,population,exposure,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,diagnostic_status
RQ1,common-support ATE,semantic_title,semantic_title,total_citations,absolute,6.594900655116623,5.659147962834994,-0.9357526922816303,0.46042572761832556,-1.8381871184135483,-0.03331826614971223,-1.8132076155831012,0.03973190668367393,5729600,20486,0.7521467872951044,exploratory_association
RQ1,common-support ATE,semantic_title,semantic_title,total_citations,relative_percent,6.594900655116623,5.659147962834994,-14.189033940270656,5.893766120584311,-25.740815536615905,-2.6372523439254074,-25.448008919886316,-1.8167502243722597,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,near,absolute,1.9439758625127268,1.7986527292968222,-0.14532313321590462,0.11433542251639656,-0.36942056134804185,0.07877429491623261,-0.36046336964596126,0.09700386596901289,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,near,relative_percent,1.9439758625127268,1.7986527292968222,-7.47556263523067,5.389732549911527,-18.039438433057263,3.0883131625959237,-17.607866395306644,3.9825384371036305,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,intermediate,absolute,1.6379310787389252,1.3796903979664377,-0.25824068077248746,0.1285300095667001,-0.5101594995232197,-0.006321862021755276,-0.48519178383718886,0.0027073963096051605,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,intermediate,relative_percent,1.6379310787389252,1.3796903979664377,-15.766272715901575,6.479597696724899,-28.466284201482377,-3.066261230320773,-27.813326149669987,-2.685976169176104,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,far,absolute,2.7629069101110124,2.294944340022436,-0.46796257008857606,0.14669880501513627,-0.7554922279182432,-0.18043291225890895,-0.7549398574102201,-0.16606947473093836,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,far,relative_percent,2.7629069101110124,2.294944340022436,-16.93732671108249,4.3348001407423595,-25.433534986937516,-8.441118435227466,-25.55346488098552,-8.135000307038776,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,unclassified,absolute,0.2083009179581229,0.18283195995868604,-0.025468957999436843,0.01735742827582467,-0.05948951742005319,0.00855160142117951,-0.06301596014165052,0.009859493364676718,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,unclassified,relative_percent,0.2083009179581229,0.18283195995868604,-12.22700228549025,7.3004169574014,-26.535819521996995,2.0818149510164936,-27.88926354482537,2.85880126526307,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,any_far,absolute,0.44236766852717446,0.43593121417639374,-0.006436454350780713,0.0040506880073661235,-0.014375802845218316,0.0015028941436568896,-0.013859706533489077,0.0014923744568051916,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,any_far,relative_percent,0.44236766852717446,0.43593121417639374,-1.455001079127316,0.9079256830045398,-3.234535417816214,0.32453325956158197,-3.1158301034546483,0.29811229471265893,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,near_winsorized,absolute,1.7681607930038792,1.7641162604127667,-0.004044532591112422,0.05745248485499354,-0.11665140290689976,0.10856233772467491,-0.1158560118903054,0.1102036962277427,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,near_winsorized,relative_percent,1.7681607930038792,1.7641162604127667,-0.2287423523423593,3.2404145174531243,-6.579954806550483,6.122470101865765,-6.5309950319056,6.222158313717112,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,far_winsorized,absolute,2.4673190864152095,2.179732602199792,-0.28758648421541755,0.07488807398526656,-0.43436710922654,-0.1408058592042951,-0.43243622069316,-0.12795628453958707,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support ATE,semantic_title,semantic_title,far_winsorized,relative_percent,2.4673190864152095,2.179732602199792,-11.655828619769427,2.622794919205977,-16.79650666141314,-6.515150578125712,-16.65281349950623,-6.056187117631875,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support log routing ratio,semantic_title,semantic_title,far_to_near_routing,log_ratio_of_mean_ratios,1.4212660575629572,1.2759240862018082,-0.10787737463558111,0.02209539826182895,-0.15118435522876586,-0.06457039404239637,-0.14940421483961075,-0.06657086373838363,5729600,20486,0.7521467872951044,exploratory_association
RQ2,common-support log routing ratio,semantic_title,semantic_title,far_to_near_routing_winsorized,log_ratio_of_mean_ratios,1.395415561852579,1.235594643682826,-0.12163991765287563,0.013288203581139973,-0.14768479667190998,-0.09559503863384128,-0.14801137341213916,-0.095152373050739,5729600,20486,0.7521467872951044,exploratory_association
