qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
0,2015,18428,8197,10231,3052,estimated,-0.09942081739912145,0.11196923628061704,-0.31888052050913085,0.12003888571088794,-0.30863277060836697,0.1305048620635113,1.5012612653380264,1.3591843551288554,"Business, economics & policy",0.3745785338668717,0.7313199946924638
0,2016,19622,8579,11043,3332,estimated,-0.18816530545056348,0.09896208696821021,-0.3821309959082555,0.005800385007128539,-0.37455794659100555,0.0008647052568561875,1.5986682725093888,1.3244610838542847,"Business, economics & policy",0.05725123550825124,0.28323197801281697
0,2017,22690,10050,12640,3531,estimated,-0.10292519353445762,0.1015140558753693,-0.30189274305018143,0.0960423559812662,-0.29404544537143334,0.11594417677765957,1.492816671446126,1.3468109321717465,"Business, economics & policy",0.31063003756651153,0.6978537830261355
0,2018,24227,10986,13241,3729,estimated,-0.1220609355483111,0.08649252382342501,-0.2915862822422241,0.047464411145601904,-0.28332002238704634,0.047806500307788276,1.5460419758566424,1.3683931462388437,"Business, economics & policy",0.15817649638943987,0.49886433476669495
0,2019,26561,11445,15116,3970,estimated,-0.24594247509808598,0.0877454644543809,-0.4179235854286726,-0.0739613647674994,-0.4134949751917243,-0.079994814200382,1.5663265731325677,1.2248160144183184,"Business, economics & policy",0.00506440943870176,0.10382039349338607
0,2020,32355,13836,18519,4352,estimated,-0.2050011424125704,0.08316143272823347,-0.367997550559908,-0.042004734265232796,-0.36773440173171934,-0.03524938195291443,1.4515480281065594,1.1824983548375325,"Business, economics & policy",0.013697550198089183,0.12479990180481255
1,2015,12392,5247,7145,1864,estimated,-0.05946244686484503,0.1713903220225581,-0.39538747802905894,0.2764625842993689,-0.35345683201209566,0.2518147153784396,1.0890556602604604,1.0261854769143992,Earth & environmental science,0.7286351303731395,0.9121844380243884
1,2016,12784,5148,7636,1986,estimated,0.0786029480793311,0.19891732689422753,-0.31127501263335483,0.46848090879201704,-0.3028035083024893,0.47603504708524697,1.017048662128263,1.1002175276922628,Earth & environmental science,0.6927293473108105,0.8945481335352199
1,2017,13447,5687,7760,2001,estimated,-0.49891693661651004,0.3324482100938534,-1.1505154284004626,0.15268155516744264,-1.103062034747711,0.1812086763093484,1.6814596797416699,1.0209620168187377,Earth & environmental science,0.13342390486970157,0.43763040797262115
1,2018,15458,7180,8278,2142,estimated,0.09178605655240513,0.15037091871643055,-0.20294094413179875,0.386513057236609,-0.20408665870945059,0.3924565204289324,1.1275524560336854,1.235944397353038,Earth & environmental science,0.5415984194641789,0.8597150854953639
1,2019,12839,5290,7549,2216,estimated,-0.13962349463995194,0.14762376261681212,-0.4289660693689037,0.1497190800889998,-0.4394674445550618,0.12792118046527207,1.3502683125049764,1.174308927857549,Earth & environmental science,0.34424735737827017,0.7238516610665888
1,2020,15682,7038,8644,2446,estimated,-0.03852908224078244,0.1797202474858655,-0.3907807673130788,0.31372260283151393,-0.4212617220905336,0.28788115318032925,1.330786850559721,1.2804880598558288,Earth & environmental science,0.8302478923971732,0.9505531091190015
