candidate,stage,covariate,mean_broad,mean_specialized,smd
primary_leaves_63,raw,pc01,0.004637720545973662,0.010368748780914155,0.053569697126348424
primary_leaves_63,raw,pc02,0.005211584751614091,0.01876481728677097,0.12480887132639852
primary_leaves_63,raw,pc03,-0.005822460128978165,-0.0029652358415472252,0.033389409313345046
primary_leaves_63,raw,pc04,-0.0019173919990699278,0.0006736639360445787,0.03436452872275417
primary_leaves_63,raw,pc05,-0.004916076153726452,0.0005919417922535985,0.07732402419466762
primary_leaves_63,raw,pc06,0.002083623002319589,0.0011252104120029228,-0.014050993986014525
primary_leaves_63,raw,pc07,0.0047038730383363175,-0.0028215377803334804,-0.11405868411008104
primary_leaves_63,raw,pc08,-0.0017358934036305956,-0.002310370744735962,-0.00940880208402749
primary_leaves_63,raw,pc09,-0.0031090160444037234,0.0009635419490772298,0.06796830850437668
primary_leaves_63,raw,pc10,0.003549942472123785,0.00045730457411108957,-0.053704332508957515
primary_leaves_63,raw,pc11,0.0019084476485599186,-0.0012563535993875346,-0.058076949376278386
primary_leaves_63,raw,pc12,-0.00205403695166146,0.0014943375199603407,0.06589986283444657
primary_leaves_63,raw,pc13,0.00031474551938585107,-0.00013309821451368885,-0.008497818858397605
primary_leaves_63,raw,pc14,-0.0020554643267509717,0.0012207577771353399,0.06513582498834648
primary_leaves_63,raw,pc15,0.0014012572347152658,-0.0042795783042332,-0.11313472448508502
primary_leaves_63,raw,pc16,-0.0005929309746609975,0.003092405555496233,0.07405012089643274
primary_leaves_63,raw,pc17,0.0025457368120863715,0.0006980644786385244,-0.03776928775985036
primary_leaves_63,raw,pc18,-0.0011049393492204192,0.0006332112114682945,0.03583175920147813
primary_leaves_63,raw,pc19,0.0009077820308601327,-0.00023026294064217248,-0.024141248030065156
primary_leaves_63,raw,pc20,0.0007382319014920735,-0.0016912756456635457,-0.05316888163465024
primary_leaves_63,raw,pc21,-0.0020678071427170487,0.00031915692104334285,0.0534843781271198
primary_leaves_63,raw,pc22,0.0009186716521638217,-0.0013051213197384636,-0.04989986581661529
primary_leaves_63,raw,pc23,-3.1344044672912597e-06,-0.0014655580186537503,-0.032993110484008936
primary_leaves_63,raw,pc24,-0.0020034834953779283,0.0008420334007218089,0.06646192198069086
primary_leaves_63,raw,pc25,0.0010707771142597752,0.0004589446481848906,-0.01426391288163434
primary_leaves_63,raw,pc26,-0.0011604948221939032,-0.0012673531398988626,-0.0025022782869772954
primary_leaves_63,raw,pc27,-0.0027288768362809177,0.0009029174800312374,0.0885199216472396
primary_leaves_63,raw,pc28,-0.0010268866020788487,0.0016614303827827187,0.06637035395982248
primary_leaves_63,raw,pc29,-0.00011928090301718456,-0.000979155788707859,-0.0213744648752975
primary_leaves_63,raw,pc30,-0.00032374110142414914,-3.674821289083796e-05,0.007284740400254879
primary_leaves_63,raw,pc31,0.0017845931827806462,-0.0011186856144861557,-0.0749419243205888
primary_leaves_63,raw,pc32,-0.001373167743416299,-2.341799853413025e-05,0.03441286008531522
primary_leaves_63,raw,qpc01,-0.007421691158667774,-0.004234611190767171,0.020351951448578473
primary_leaves_63,raw,qpc02,-0.01261346997761975,-0.034380555030724735,-0.14078780565939633
primary_leaves_63,raw,qpc03,0.008181158888464305,0.007019467255462099,-0.0096533223865423
primary_leaves_63,raw,qpc04,-0.014886793612209664,-0.0025889135792875615,0.1151567433096728
primary_leaves_63,raw,qpc05,0.0009880476024961055,-0.0071768405125545815,-0.0773420000231783
primary_leaves_63,raw,qpc06,-0.0022096972718553152,-0.0037990822402814593,-0.01560043809912214
primary_leaves_63,raw,qpc07,-0.008690567064336205,0.006183194155327395,0.14902260530961683
primary_leaves_63,raw,qpc08,-0.001982342970660148,0.0018943227465626725,0.042476465831298514
primary_leaves_63,raw,qpc09,0.0039412783805900875,0.0014409336811864683,-0.028557773103625048
primary_leaves_63,raw,qpc10,-0.0024936926310586698,0.0042583958058082915,0.07871942173752182
primary_leaves_63,raw,qpc11,0.00040364873693440293,-0.002390946123041546,-0.034608130138987406
primary_leaves_63,raw,qpc12,0.003515900059970248,0.0016201901623357458,-0.02290267077288848
primary_leaves_63,raw,qpc13,-0.00034939554104556356,-0.0038652041907452288,-0.044767695104961897
primary_leaves_63,raw,qpc14,0.002364886968420284,-0.007337963017184408,-0.12374503646950043
primary_leaves_63,raw,qpc15,-0.005505003229751443,-0.0029885234018045817,0.03397046947095143
primary_leaves_63,raw,qpc16,0.0010866951524627234,0.0007704395494550916,-0.004334579722421652
primary_leaves_63,raw,qpc17,0.0015775487758129538,0.0008173554711682486,-0.010490867712045224
primary_leaves_63,raw,qpc18,-0.0007005399706111832,-0.0012330268091888875,-0.00765044522152932
primary_leaves_63,raw,qpc19,0.003862697527453918,0.0004167639807377371,-0.05084986310439281
primary_leaves_63,raw,qpc20,-0.0015619722931205632,0.004194955443947897,0.08469947093408134
primary_leaves_63,raw,qpc21,-0.0010295946134032694,-0.002781892860619166,-0.025810686884619093
primary_leaves_63,raw,qpc22,-0.0014365644071189718,0.004441031586481023,0.08943558107481452
primary_leaves_63,raw,qpc23,-0.0016871753672801524,-0.00025571240926602906,0.0227909147320093
