qwen_macro,treatment,n_papers,n_journals
0,0,63093,4379
0,1,80790,4816
1,0,35590,2787
1,1,47012,2993
2,0,25578,2011
2,1,28765,2110
3,0,34296,1540
3,1,40674,1877
4,0,84863,3138
4,1,121788,3470
5,0,49901,2352
5,1,75005,3126
6,0,49754,2045
6,1,65672,2540
7,0,67319,2249
7,1,105147,2586
8,0,58645,4800
8,1,92764,4473
9,0,73952,2100
9,1,75567,2435
10,0,35186,3797
10,1,48477,3956
11,0,50593,3001
11,1,73225,3665
12,0,79378,3927
12,1,71566,5774
13,0,19170,1536
13,1,25950,1448
14,0,29114,2150
14,1,79552,2196
15,0,48664,2433
15,1,88079,2567
16,0,58521,4070
16,1,87686,4510
17,0,37572,2472
17,1,68381,2733
18,0,70476,5842
18,1,81614,5430
19,0,17999,947
19,1,52298,755
20,0,45747,2047
20,1,63742,2530
21,0,31479,1642
21,1,56565,1594
22,0,36673,1476
22,1,48473,1260
23,0,39769,2523
23,1,67520,2459
24,0,62145,2642
24,1,66847,3951
25,0,30531,2336
25,1,55289,2268
26,0,46246,2792
26,1,60914,2834
27,0,45583,2582
27,1,101913,2443
28,0,59941,4525
28,1,70378,4802
29,0,41692,1367
29,1,49726,1292
30,0,38035,2505
30,1,129257,2442
31,0,68338,3295
31,1,111012,3783
