qwen_leaf,qwen_macro,umap_x,umap_y,n_excluded,n_broad,n_narrow
0,11,2.244377,8.683843,1635,882,1493
1,21,-1.5498621,3.6660757,2251,787,1365
2,2,-0.6696598,7.7869663,1755,1476,1673
3,12,2.3092124,5.0285463,1780,722,562
4,26,-1.0624226,6.2066345,3246,1326,1242
5,16,1.5662581,8.11076,2742,2635,4013
6,7,-1.7505469,4.2730885,3998,1450,1723
7,18,6.4167285,7.1993375,493,763,733
8,6,0.3933734,10.261732,2890,3116,3375
9,14,-2.0102954,8.841224,3914,987,3077
10,24,-0.04671959,3.5329425,2140,1008,800
11,8,4.825627,7.5304003,2714,1911,2066
12,12,2.0134375,4.5736604,4898,1230,847
13,6,0.811158,10.238497,2,0,2
14,1,-0.060351517,5.859069,8719,2520,3858
15,19,-2.9211879,4.8491936,5170,723,2007
16,31,0.23633204,9.745197,3576,1361,2306
17,24,1.7644937,4.8574586,2199,1357,893
18,18,5.941297,7.5535064,1660,1255,2007
19,30,0.34408328,10.539316,3828,1405,5403
20,20,-0.053334925,4.568634,13073,1693,4127
21,12,2.4926846,5.7853923,6040,1678,1781
22,11,0.30267486,8.544191,2295,602,1490
23,28,3.260951,6.7965083,3559,1192,1755
24,24,1.4735043,4.3208303,4983,2235,1592
25,0,3.6458201,6.4355383,2076,1213,1476
26,4,-1.9922495,7.591615,4162,1681,1719
27,9,-1.2577219,8.756526,4524,2191,2453
28,15,-0.08570422,9.480699,4922,1783,2911
29,11,1.9171392,8.905059,1447,881,1522
30,5,-1.4549122,5.1228724,4024,1195,1769
31,0,2.8955586,6.3835135,6551,1548,2109
32,30,0.88191205,9.403252,221,18,20691
33,5,-0.64236695,4.3302855,1856,1637,1317
34,18,6.870147,7.091778,214,343,328
35,20,0.046181083,4.687514,4904,837,2297
36,6,0.09799562,9.488514,1671,1784,1968
37,11,1.6510457,9.668465,4516,2307,1952
38,31,-2.1704862,8.643564,7509,4129,5155
39,31,-2.2260368,8.620352,4553,2557,4576
40,27,-1.4956723,10.49023,10068,1689,4350
41,13,-0.68705124,7.080068,3954,2091,3301
42,19,-2.5552754,4.560235,2390,1570,1571
