qwen_macro,umap_x,umap_y,n_sampled
0,12.565024,8.96001,47144
1,3.5509741,4.3483076,27113
2,7.1815343,4.7284293,15821
3,-0.47749123,5.2328634,31515
4,5.9342513,2.5783622,62757
5,0.9684245,6.1127315,41923
6,8.805737,5.5828323,28899
7,3.66678,0.67319286,64862
8,13.678076,10.847282,54966
9,7.1041665,4.3080845,43785
10,11.123617,9.649822,23370
11,9.005962,8.908471,34149
12,0.0067107882,3.739072,58623
13,4.158099,4.2229667,13082
14,8.631972,4.5458803,33836
15,7.6448736,6.9463606,40814
16,10.429218,7.9667306,36873
17,8.138994,6.7095075,33525
18,14.405876,9.503823,42038
19,5.322626,-0.6576242,23858
20,-0.2309528,7.8593965,39010
21,-1.4083778,8.086153,30670
22,1.5066761,8.789239,27885
23,4.8658786,3.7614126,33295
24,-0.8745962,5.280599,48607
25,7.3225474,8.876806,25016
26,3.000907,3.6755123,34653
27,10.642961,3.20754,50651
28,11.485688,10.442996,43041
29,-2.4718485,6.951752,32203
30,7.0893507,2.3609142,41619
31,9.0635805,6.3225565,54047
