analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support
primary,total_citations,absolute,6.834386790691904,6.168473145968405,-0.665913644723499,0.4352716670057343,-1.5190461120547383,0.18721882260774014,-1.6447418950810324,0.13539244980379744,3818173,20203,0.5012263605289917
primary,near,absolute,2.053085139812083,1.9583436867170108,-0.0947414530950725,0.11420261393198441,-0.31857857640176196,0.12909567021161694,-0.3486507825226054,0.1012599273812164,3818173,20203,0.5012263605289917
primary,intermediate,absolute,1.700108815360676,1.4755700206767526,-0.2245387946839233,0.13469250301409788,-0.4885361005915551,0.039458511223708526,-0.5070662994355033,0.03815543342698309,3818173,20203,0.5012263605289917
primary,far,absolute,2.9487290376083526,2.5532862473374123,-0.39544279027094037,0.15663806958220994,-0.7024534066520718,-0.0884321738898089,-0.7514171919996645,-0.11270187775817697,3818173,20203,0.5012263605289917
primary,unclassified,absolute,0.22150350875259875,0.20900452666461944,-0.0124989820879793,0.030431166266128813,-0.07214406796959177,0.04714610379363317,-0.080807136917364,0.04585476232244182,3818173,20203,0.5012263605289917
primary,any_far,absolute,0.4592440517784395,0.453480648070554,-0.005763403707885489,0.004113386539830675,-0.013825641325953611,0.0022988339101826334,-0.013161797444355142,0.002107093837677925,3818173,20203,0.5012263605289917
primary,near_winsorized,absolute,1.9057004364222443,1.9057332229481714,3.278652592740707e-05,0.08326566115379798,-0.16316790933551661,0.16323348238737145,-0.18340407744443205,0.13680607091266261,3818173,20203,0.5012263605289917
primary,far_winsorized,absolute,2.673876944884769,2.4394732223772286,-0.23440372250754052,0.1026564659199928,-0.4356103957107264,-0.03319704930435463,-0.4653254929190913,-0.0644989781067668,3818173,20203,0.5012263605289917
primary,ref_near,absolute,6.840467618916026,7.048670985917228,0.20820336700120054,0.04406363753671611,0.12183863742923697,0.29456809657316413,0.12420295517747297,0.288415901979759,3818173,20203,0.5012263605289917
primary,ref_far,absolute,10.42434928901335,10.279505946071078,-0.14484334294226942,0.04277050766712045,-0.22867353796982548,-0.06101314791471334,-0.2375590781651073,-0.06085858621430872,3818173,20203,0.5012263605289917
primary,far_to_near_routing,log_ratio_of_mean_ratios,1.4362429401628454,1.303798850352856,-0.09674843896193808,0.024279576209909656,-0.144336408333361,-0.04916046959051515,-0.14262061548312305,-0.04347180848304235,3818173,20203,0.5012263605289917
primary,far_to_near_routing_winsorized,log_ratio_of_mean_ratios,1.4030940507652383,1.280070679884229,-0.0917645392775518,0.018639606630527755,-0.1282981682733862,-0.055230910281717394,-0.12863929264995155,-0.05222481749999591,3818173,20203,0.5012263605289917
primary,reference_routing,log_ratio_of_mean_ratios,1.5239234902869465,1.4583608692488046,-0.04397514004662373,0.008247463966785004,-0.06014016942152234,-0.02781011067172512,-0.060286510879487124,-0.027584740858139726,3818173,20203,0.5012263605289917
reference_adjusted,near,absolute,2.0708910873507893,1.9464677058110627,-0.12442338153972617,0.10662904832040544,-0.33341631624772083,0.08456955316826849,-0.3038740644277451,0.08090082595895119,3782942,20211,0.49660145068132455
reference_adjusted,far,absolute,2.909980011849206,2.596871410217483,-0.31310860163172266,0.15454767168853872,-0.6160220381412586,-0.010195165122186767,-0.587545225420517,-0.01519059536346236,3782942,20211,0.49660145068132455
reference_adjusted,far_to_near_routing,log_ratio_of_mean_ratios,1.4051825465972867,1.3341456436521801,-0.05187610106577589,0.02663482582153892,-0.10408035967599218,0.00032815754444039114,-0.10536825698030428,0.002189806606507747,3782942,20211,0.49660145068132455
