fold,outcome,arm,best_iteration,validation_loss
0,near,0,1165,-1.6204717530437518
0,near,1,1670,-2.530197277021898
0,far,0,1283,-4.110018656879949
0,far,1,1619,-2.622896349225923
1,near,0,1030,-1.1480401006057859
1,near,1,2242,-2.709208986552892
1,far,0,999,-3.1314362352933265
1,far,1,1771,-2.6241471614935508
2,near,0,1370,-1.1486943318930916
2,near,1,2063,-2.3756794903279825
2,far,0,1159,-3.2853972110459035
2,far,1,1728,-2.5130008819921463
3,near,0,1262,-1.5285604895988423
3,near,1,2059,-2.3714548087815
3,far,0,1058,-3.7515308810015653
3,far,1,1444,-2.4763984527584935
4,near,0,1298,-1.3981126781827342
4,near,1,2065,-2.7451774343971174
4,far,0,1161,-3.550548793519435
4,far,1,1711,-2.7579845949158788
