test,modifier,level,order,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,n,n_broad,n_specialized,journals
paper_venue_fit,reference_entropy_quartile,1,1,estimated,-0.1410463944264528,0.0484216337075669,-0.235952796493284,-0.0461399923596216,-0.235043090052312,-0.0460513668064683,1.0579506709355213,0.9187762229261538,959091,402766,556325,17497
paper_venue_fit,reference_entropy_quartile,2,2,estimated,-0.1136053568253318,0.0338000330822934,-0.1798534216666268,-0.0473572919840367,-0.1796414935929292,-0.0456267266889922,1.1921217721268256,1.0640999925077148,956147,366079,590068,18045
paper_venue_fit,reference_entropy_quartile,3,3,estimated,-0.0714099749114233,0.025316006207828,-0.1210293470787662,-0.0217906027440803,-0.1169147147292235,-0.0240100200880168,1.3447269146082503,1.2520484625821795,957588,372384,585204,18075
paper_venue_fit,reference_entropy_quartile,4,4,estimated,-0.0595335988609979,0.0321026312403705,-0.1224547560921242,0.0033875583701282,-0.1229629903671885,0.0023560672566838,1.8837383894702904,1.7748656120840134,954665,394614,560051,17795
author_audience_breadth,author_breadth_quartile,1,1,estimated,-0.0265108446824533,0.038356217939075,-0.1016890318430404,0.0486673424781337,-0.0990996338326554,0.0467582868767314,1.215590034123167,1.1837871389715915,754268,265885,488383,17470
author_audience_breadth,author_breadth_quartile,2,2,estimated,-0.0834087373819741,0.0384053499183711,-0.1586832232219816,-0.0081342515419667,-0.1607890488451115,-0.0047449891889735,1.4688952231164607,1.3513469448314137,754267,277320,476947,17397
author_audience_breadth,author_breadth_quartile,3,3,estimated,-0.1263530340709046,0.0287642158321566,-0.1827308971019316,-0.0699751710398775,-0.185170717631626,-0.076377011175469,1.594222250119881,1.4049939064951,754268,304947,449321,17451
author_audience_breadth,author_breadth_quartile,4,4,estimated,-0.0749335280346787,0.0248425794671647,-0.1236249837903216,-0.0262420722790359,-0.1242108179791919,-0.0261585124671278,1.4138166213788002,1.311746352807372,754267,350684,403583,17592
author_publication_experience,author_works_quartile,1,1,estimated,-0.1369944951307629,0.0479125538078491,-0.2309031005941473,-0.0430858896673785,-0.2344724398131606,-0.0439387741572277,1.368983893732962,1.1937197666426804,956873,417530,539343,18569
author_publication_experience,author_works_quartile,2,2,estimated,-0.0904260687333913,0.0195389717127191,-0.1287224532903207,-0.0521296841764618,-0.1277408368948425,-0.0539589710276787,1.3738386259698394,1.2550591084248677,956873,410484,546389,18204
