panel,mark,item,x,y,value
a,timeline,history starts,-36.0,0.5,-36.0
a,timeline,time zero,0.0,0.5,0.0
a,timeline,follow-up ends,60.0,0.5,60.0
b,histogram,bin 0,0.8025369596096987,36.0,0.004995056094254768
b,histogram,bin 1,0.8075320157039535,141.0,0.004995056094254879
b,histogram,bin 2,0.8125270717982083,339.0,0.004995056094254768
b,histogram,bin 3,0.8175221278924631,568.0,0.004995056094254768
b,histogram,bin 4,0.8225171839867179,857.0,0.004995056094254879
b,histogram,bin 5,0.8275122400809727,1191.0,0.004995056094254768
b,histogram,bin 6,0.8325072961752276,1871.0,0.004995056094254879
b,histogram,bin 7,0.8375023522694824,2655.0,0.004995056094254768
b,histogram,bin 8,0.8424974083637371,3627.0,0.004995056094254768
b,histogram,bin 9,0.847492464457992,5216.0,0.004995056094254879
b,histogram,bin 10,0.8524875205522469,7283.0,0.004995056094254768
b,histogram,bin 11,0.8574825766465016,9867.0,0.004995056094254879
b,histogram,bin 12,0.8624776327407564,12089.0,0.004995056094254768
b,histogram,bin 13,0.8674726888350113,13283.0,0.004995056094254768
b,histogram,bin 14,0.872467744929266,12940.0,0.004995056094254879
b,histogram,bin 15,0.8774628010235208,9705.0,0.004995056094254768
b,histogram,bin 16,0.8824578571177757,6329.0,0.004995056094254768
b,histogram,bin 17,0.8874529132120305,3756.0,0.004995056094254879
b,histogram,bin 18,0.8924479693062852,1872.0,0.004995056094254768
b,histogram,bin 19,0.8974430254005401,915.0,0.004995056094254768
b,histogram,bin 20,0.9024380814947949,503.0,0.004995056094254879
b,histogram,bin 21,0.9074331375890496,254.0,0.004995056094254768
b,histogram,bin 22,0.9124281936833045,139.0,0.004995056094254879
b,histogram,bin 23,0.9174232497775594,78.0,0.004995056094254768
b,histogram,bin 24,0.9224183058718141,55.0,0.004995056094254768
b,histogram,bin 25,0.9274133619660689,42.0,0.004995056094254879
b,histogram,bin 26,0.9324084180603238,20.0,0.004995056094254768
b,histogram,bin 27,0.9374034741545786,15.0,0.004995056094254879
b,histogram,bin 28,0.9423985302488334,16.0,0.004995056094254768
b,histogram,bin 29,0.9473935863430882,9.0,0.004995056094254768
b,histogram,bin 30,0.952388642437343,12.0,0.004995056094254879
b,histogram,bin 31,0.9573836985315978,9.0,0.004995056094254768
b,histogram,bin 32,0.9623787546258527,19.0,0.004995056094254768
b,histogram,bin 33,0.9673738107201074,8.0,0.004995056094254879
b,histogram,bin 34,0.9723688668143622,11.0,0.004995056094254768
b,histogram,bin 35,0.9773639229086171,8.0,0.004995056094254768
b,histogram,bin 36,0.9823589790028718,8.0,0.004995056094254879
b,histogram,bin 37,0.9873540350971266,14.0,0.004995056094254768
b,histogram,bin 38,0.9923490911913815,3.0,0.004995056094254768
b,histogram,bin 39,0.9973441472856363,2.0,0.004995056094254879
b,split-half bin,cell 0-0,0.7990295548193094,0.7990945902222171,1.0
b,split-half bin,cell 0-1,0.7990295548193094,0.805467513570608,7.0
b,split-half bin,cell 0-3,0.7990295548193094,0.81821336026739,1.0
b,split-half bin,cell 1-0,0.805404542752918,0.7990945902222171,10.0
b,split-half bin,cell 1-1,0.805404542752918,0.805467513570608,52.0
b,split-half bin,cell 1-2,0.805404542752918,0.8118404369189991,37.0
b,split-half bin,cell 1-3,0.805404542752918,0.81821336026739,6.0
b,split-half bin,cell 2-1,0.8117795306865264,0.805467513570608,49.0
b,split-half bin,cell 2-2,0.8117795306865264,0.8118404369189991,249.0
b,split-half bin,cell 2-3,0.8117795306865264,0.81821336026739,90.0
b,split-half bin,cell 2-4,0.8117795306865264,0.8245862836157809,13.0
b,split-half bin,cell 2-5,0.8117795306865264,0.8309592069641718,1.0
b,split-half bin,cell 3-1,0.818154518620135,0.805467513570608,10.0
b,split-half bin,cell 3-2,0.818154518620135,0.8118404369189991,87.0
b,split-half bin,cell 3-3,0.818154518620135,0.81821336026739,434.0
b,split-half bin,cell 3-4,0.818154518620135,0.8245862836157809,163.0
b,split-half bin,cell 3-5,0.818154518620135,0.8309592069641718,21.0
b,split-half bin,cell 3-6,0.818154518620135,0.8373321303125629,2.0
b,split-half bin,cell 4-2,0.8245295065537435,0.8118404369189991,20.0
b,split-half bin,cell 4-3,0.8245295065537435,0.81821336026739,187.0
b,split-half bin,cell 4-4,0.8245295065537435,0.8245862836157809,676.0
b,split-half bin,cell 4-5,0.8245295065537435,0.8309592069641718,295.0
b,split-half bin,cell 4-6,0.8245295065537435,0.8373321303125629,44.0
b,split-half bin,cell 4-7,0.8245295065537435,0.8437050536609538,3.0
b,split-half bin,cell 5-2,0.830904494487352,0.8118404369189991,1.0
b,split-half bin,cell 5-3,0.830904494487352,0.81821336026739,21.0
b,split-half bin,cell 5-4,0.830904494487352,0.8245862836157809,282.0
b,split-half bin,cell 5-5,0.830904494487352,0.8309592069641718,1116.0
b,split-half bin,cell 5-6,0.830904494487352,0.8373321303125629,507.0
b,split-half bin,cell 5-7,0.830904494487352,0.8437050536609538,61.0
b,split-half bin,cell 5-8,0.830904494487352,0.8500779770093447,10.0
b,split-half bin,cell 6-3,0.8372794824209606,0.81821336026739,1.0
b,split-half bin,cell 6-4,0.8372794824209606,0.8245862836157809,56.0
b,split-half bin,cell 6-5,0.8372794824209606,0.8309592069641718,483.0
b,split-half bin,cell 6-6,0.8372794824209606,0.8373321303125629,1807.0
b,split-half bin,cell 6-7,0.8372794824209606,0.8437050536609538,748.0
b,split-half bin,cell 6-8,0.8372794824209606,0.8500779770093447,85.0
b,split-half bin,cell 6-9,0.8372794824209606,0.8564509003577356,4.0
b,split-half bin,cell 6-10,0.8372794824209606,0.8628238237061268,1.0
b,split-half bin,cell 7-4,0.8436544703545692,0.8245862836157809,3.0
b,split-half bin,cell 7-5,0.8436544703545692,0.8309592069641718,77.0
b,split-half bin,cell 7-6,0.8436544703545692,0.8373321303125629,768.0
b,split-half bin,cell 7-7,0.8436544703545692,0.8437050536609538,2606.0
b,split-half bin,cell 7-8,0.8436544703545692,0.8500779770093447,1150.0
b,split-half bin,cell 7-9,0.8436544703545692,0.8564509003577356,124.0
b,split-half bin,cell 7-10,0.8436544703545692,0.8628238237061268,10.0
b,split-half bin,cell 7-11,0.8436544703545692,0.8691967470545177,1.0
b,split-half bin,cell 8-5,0.8500294582881777,0.8309592069641718,8.0
b,split-half bin,cell 8-6,0.8500294582881777,0.8373321303125629,80.0
b,split-half bin,cell 8-7,0.8500294582881777,0.8437050536609538,1204.0
b,split-half bin,cell 8-8,0.8500294582881777,0.8500779770093447,4516.0
b,split-half bin,cell 8-9,0.8500294582881777,0.8564509003577356,1775.0
b,split-half bin,cell 8-10,0.8500294582881777,0.8628238237061268,193.0
b,split-half bin,cell 8-11,0.8500294582881777,0.8691967470545177,14.0
b,split-half bin,cell 9-6,0.8564044462217862,0.8373321303125629,6.0
b,split-half bin,cell 9-7,0.8564044462217862,0.8437050536609538,146.0
b,split-half bin,cell 9-8,0.8564044462217862,0.8500779770093447,1764.0
b,split-half bin,cell 9-9,0.8564044462217862,0.8564509003577356,6469.0
b,split-half bin,cell 9-10,0.8564044462217862,0.8628238237061268,2632.0
b,split-half bin,cell 9-11,0.8564044462217862,0.8691967470545177,261.0
b,split-half bin,cell 9-12,0.8564044462217862,0.8755696704029086,11.0
b,split-half bin,cell 10-7,0.8627794341553948,0.8437050536609538,7.0
b,split-half bin,cell 10-8,0.8627794341553948,0.8500779770093447,199.0
b,split-half bin,cell 10-9,0.8627794341553948,0.8564509003577356,2535.0
b,split-half bin,cell 10-10,0.8627794341553948,0.8628238237061268,8542.0
b,split-half bin,cell 10-11,0.8627794341553948,0.8691967470545177,3070.0
b,split-half bin,cell 10-12,0.8627794341553948,0.8755696704029086,276.0
b,split-half bin,cell 10-13,0.8627794341553948,0.8819425937512995,20.0
b,split-half bin,cell 10-14,0.8627794341553948,0.8883155170996906,1.0
b,split-half bin,cell 10-17,0.8627794341553948,0.9074342871448633,1.0
b,split-half bin,cell 11-7,0.8691544220890033,0.8437050536609538,1.0
b,split-half bin,cell 11-8,0.8691544220890033,0.8500779770093447,19.0
b,split-half bin,cell 11-9,0.8691544220890033,0.8564509003577356,267.0
b,split-half bin,cell 11-10,0.8691544220890033,0.8628238237061268,3070.0
b,split-half bin,cell 11-11,0.8691544220890033,0.8691967470545177,9039.0
b,split-half bin,cell 11-12,0.8691544220890033,0.8755696704029086,3061.0
b,split-half bin,cell 11-13,0.8691544220890033,0.8819425937512995,275.0
b,split-half bin,cell 11-14,0.8691544220890033,0.8883155170996906,11.0
b,split-half bin,cell 11-16,0.8691544220890033,0.9010613637964724,1.0
b,split-half bin,cell 12-9,0.8755294100226119,0.8564509003577356,10.0
b,split-half bin,cell 12-10,0.8755294100226119,0.8628238237061268,276.0
b,split-half bin,cell 12-11,0.8755294100226119,0.8691967470545177,3143.0
b,split-half bin,cell 12-12,0.8755294100226119,0.8755696704029086,7274.0
b,split-half bin,cell 12-13,0.8755294100226119,0.8819425937512995,2129.0
b,split-half bin,cell 12-14,0.8755294100226119,0.8883155170996906,145.0
b,split-half bin,cell 12-15,0.8755294100226119,0.8946884404480815,5.0
b,split-half bin,cell 13-10,0.8819043979562204,0.8628238237061268,10.0
b,split-half bin,cell 13-11,0.8819043979562204,0.8691967470545177,292.0
