qwen_macro,mds_x,mds_y,source_share,focal_broad,focal_specialized,self_retention_broad,self_retention_specialized,self_retention_difference,representative_journals,display_label
0,-0.0342046685203113,0.1105958442580206,0.0375919891124499,63093.0,80790.0,0.5949314256006873,0.6178524371140812,0.0229210115133938,Applied Economics; Journal of Nutrition Education and Behavior; Applied Economics Letters,"Business, economics & policy"
1,0.0523277439937151,0.0167516361008601,0.0215812395117323,35590.0,47012.0,0.5129430551103703,0.5437936030214495,0.0308505479110792,Abstracts with programs - Geological Society of America; Atmospheric Environment; The Science of The Total Environment,Earth & environmental science
2,-0.0591192525510592,-0.0742028748224163,0.0141980738818197,25578.0,28765.0,0.4217484806601694,0.4679929978412346,0.0462445171810651,The FASEB Journal; Fertility and Sterility; Case Medical Research,"Reproduction, metabolism & animal science"
3,0.1011279583262825,0.0367187464695831,0.0195872439673927,34296.0,40674.0,0.5544030334318244,0.612861623139177,0.0584585897073526,IEEE Photonics Technology Letters; International Transactions on Electrical Energy Systems; International Journal of RF and Microwave Computer-Aided Engineering,Electrical & control engineering
4,0.0212225963239773,-0.0534941394670355,0.0539912438722912,84863.0,121788.0,0.5542692559337118,0.5943942839612962,0.0401250280275844,The FASEB Journal; INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY; Natural Product Research,Plant & microbial biology
5,0.0969931905652713,0.0371329081566922,0.0326339108308811,49901.0,75005.0,0.5688973078362328,0.5585468108013031,-0.0103504970349297,Physics of Plasmas; International Journal of Hydrogen Energy; ECS Meeting Abstracts,Energy & thermal engineering
6,-0.0822686499365481,-0.0887248788475819,0.0301570924660567,49754.0,65672.0,0.4216041552893825,0.4494814742984466,0.027877319009064,BMJ Case Reports; Neuro-Oncology; Ultrasound in Obstetrics and Gynecology,Clinical diagnostics & case reports
7,0.1429795859428394,-0.036421930098354,0.0450598054966033,67319.0,105147.0,0.6586661937606643,0.7039691387908047,0.0453029450301404,Journal of The Electrochemical Society; Dalton Transactions; Journal of Materials Chemistry A,Electrochemical materials
8,-0.0766478972438503,0.1442627189637385,0.0395582902742292,58645.0,92764.0,0.4161324628085237,0.4444410167219441,0.0283085539134204,Perspectives on Politics; Journal of American History; Bulletin of the Center for Children's Books./Bulletin of the Center for Children's Books,Humanities & politics
9,-0.0148226304491285,-0.1059289080167149,0.0390644942078243,73952.0,75567.0,0.4774658912810357,0.4843280771642634,0.0068621858832276,The FASEB Journal; Biochemical and Biophysical Research Communications; The Journal of Immunology,Cell & neural biology
