outcome,period,scale,mean_broad,mean_narrower,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals
any_web_5cy,all,absolute_difference,0.016497511160820162,0.009689739938408722,-0.00680777122241144,0.0019032600361036697,-0.010538160893174633,-0.003077381551648247,-0.010402337545218033,-0.002922579806317251,1203485,15833
any_web_5cy,all,log_mean_ratio,0.016497511160820162,0.009689739938408722,-0.5321419433900456,0.12155663370280269,-0.7703929454475389,-0.29389094133255234,-0.7591630390983147,-0.2844764102051868,1203485,15833
any_web_5cy,2018,absolute_difference,0.01580313287202143,0.010618789288781573,-0.005184343583239856,0.002144085923318012,-0.009386751992943159,-0.000981935173536553,-0.009309745314919134,-0.0007491687360708501,586541,13208
any_web_5cy,2018,log_mean_ratio,0.01580313287202143,0.010618789288781573,-0.3975831970413928,0.14209420944815454,-0.6760878475597757,-0.11907854652300986,-0.6708027111866633,-0.08066000817473705,586541,13208
any_web_5cy,2019,absolute_difference,0.01715767048790706,0.00880647413954036,-0.008351196348366697,0.00203068928337271,-0.012331347343777208,-0.004371045352956186,-0.01241631582298399,-0.004348150546139392,616944,13880
any_web_5cy,2019,log_mean_ratio,0.01715767048790706,0.00880647413954036,-0.666958183725323,0.12454548772772818,-0.9110673396716702,-0.4228490277789758,-0.9011815180456989,-0.41351597650815397,616944,13880
web_pages_5cy,all,absolute_difference,0.041599982460532724,0.022274634952957627,-0.0193253475075751,0.006344149124220312,-0.03175987979104691,-0.006890815224103288,-0.03203484596724711,-0.0067446537501347804,1203485,15833
web_pages_5cy,all,log_mean_ratio,0.041599982460532724,0.022274634952957627,-0.6246511606176779,0.17032829893177887,-0.9584946265239644,-0.29080769471139134,-0.9653368642140054,-0.29573777837995197,1203485,15833
web_pages_5cy,2018,absolute_difference,0.042698140665242905,0.02478486964448875,-0.017913271020754153,0.008069927382601512,-0.03373032869065312,-0.002096213350855188,-0.03374221750651999,-0.0019277339061622518,586541,13208
web_pages_5cy,2018,log_mean_ratio,0.042698140665242905,0.02478486964448875,-0.5439220031400235,0.21006039904437798,-0.9556403852670043,-0.13220362101304262,-0.9563881209104989,-0.12922808939670918,586541,13208
web_pages_5cy,2019,absolute_difference,0.04055594149158106,0.019888104625723133,-0.020667836865857932,0.005789268371265242,-0.032014802873537807,-0.009320870858178058,-0.03235386723283963,-0.00920901778273172,616944,13880
web_pages_5cy,2019,log_mean_ratio,0.04055594149158106,0.019888104625723133,-0.7125604969309051,0.15635869716075634,-1.0190235433659875,-0.40609745049582263,-1.0153570291979068,-0.40095712427359437,616944,13880
web_pages_winsorized,all,absolute_difference,0.03622593661644548,0.019342413112863843,-0.01688352350358164,0.004901961325714331,-0.026491367701981728,-0.00727567930518155,-0.02684257223914021,-0.0075095041414582255,1203485,15833
web_pages_winsorized,all,log_mean_ratio,0.03622593661644548,0.019342413112863843,-0.6274750879999317,0.14848358216218682,-0.9185029090378178,-0.3364472669620455,-0.9254630751772119,-0.3430657625116928,1203485,15833
web_pages_winsorized,2018,absolute_difference,0.036548814873652614,0.020786300379966913,-0.0157625144936857,0.005631890457819704,-0.02680101979101232,-0.004724009196359083,-0.026817958129800222,-0.004573082295999378,586541,13208
web_pages_winsorized,2018,log_mean_ratio,0.036548814873652614,0.020786300379966913,-0.5643546267395664,0.16827353888638832,-0.8941707629568875,-0.2345384905222453,-0.911123185854055,-0.22874941489599912,586541,13208
web_pages_winsorized,2019,absolute_difference,0.035918969799586045,0.01796968060953469,-0.017949289190051353,0.004917091850457328,-0.027586789216947717,-0.008311789163154991,-0.027125224540607246,-0.00827909901805663,616944,13880
web_pages_winsorized,2019,log_mean_ratio,0.035918969799586045,0.01796968060953469,-0.692579635510078,0.14952739700783804,-0.9856533336454405,-0.3995059373747154,-0.9790418952766581,-0.42419815916986686,616944,13880
