fold,outcome,arm,objective,best_iteration,validation_loss
0,any_web_5cy,0,binary,71,0.06517208600727825
0,any_web_5cy,1,binary,59,0.04646319629932734
0,web_pages_5cy,0,poisson,167,0.09806064730558722
0,web_pages_5cy,1,poisson,119,0.07280055950795575
0,web_pages_winsorized,0,poisson,155,0.09820044898436554
0,web_pages_winsorized,1,poisson,111,0.0703595726210399
1,any_web_5cy,0,binary,70,0.05518429538414013
1,any_web_5cy,1,binary,53,0.048204618366584066
1,web_pages_5cy,0,poisson,141,0.0789443801972975
1,web_pages_5cy,1,poisson,125,0.07727235027658773
1,web_pages_winsorized,0,poisson,148,0.08052300216009385
1,web_pages_winsorized,1,poisson,122,0.07459937846593949
2,any_web_5cy,0,binary,71,0.058081418936291394
2,any_web_5cy,1,binary,61,0.047260973260081246
2,web_pages_5cy,0,poisson,158,0.10510082163224357
2,web_pages_5cy,1,poisson,118,0.07515131861428752
2,web_pages_winsorized,0,poisson,144,0.08922931035092163
2,web_pages_winsorized,1,poisson,113,0.07251748915890305
3,any_web_5cy,0,binary,95,0.06814557187704529
3,any_web_5cy,1,binary,54,0.04495586903027766
3,web_pages_5cy,0,poisson,166,0.1071802724409945
3,web_pages_5cy,1,poisson,102,0.07204846571586573
3,web_pages_winsorized,0,poisson,160,0.10306797064256656
3,web_pages_winsorized,1,poisson,97,0.06850248106667599
4,any_web_5cy,0,binary,75,0.06429025607000502
4,any_web_5cy,1,binary,58,0.04846457383220064
4,web_pages_5cy,0,poisson,156,0.10445258185114617
4,web_pages_5cy,1,poisson,117,0.07708524537199325
4,web_pages_winsorized,0,poisson,144,0.10058664368790882
4,web_pages_winsorized,1,poisson,111,0.07408542343230785
