analysis,fold,outcome,arm,objective,best_iteration,validation_loss
primary,0,total_citations,0,poisson,1227,-14.680603611098336
primary,0,total_citations,1,poisson,1835,-14.757673969815444
primary,0,near,0,poisson,1323,-1.5954654321373323
primary,0,near,1,poisson,1918,-2.5348648944958234
primary,0,intermediate,0,poisson,1153,-1.2601549051063272
primary,0,intermediate,1,poisson,1919,-1.4261010511265855
primary,0,far,0,poisson,900,-4.046859060686951
primary,0,far,1,poisson,1366,-2.6142689822950866
primary,0,unclassified,0,poisson,706,0.3042395603475945
primary,0,unclassified,1,poisson,794,0.3605486650782113
primary,0,any_far,0,binary,308,0.4556939316911916
primary,0,any_far,1,binary,459,0.4065349670408307
primary,0,near_winsorized,0,poisson,1360,-1.1476293160851379
primary,0,near_winsorized,1,poisson,2165,-2.263176489759897
primary,0,far_winsorized,0,poisson,1322,-2.9723019802850783
primary,0,far_winsorized,1,poisson,1920,-2.282187217380352
primary,0,ref_near,0,poisson,2176,-9.922577416778024
primary,0,ref_near,1,poisson,2999,-14.144076140247526
primary,0,ref_far,0,poisson,3000,-22.00813392847462
primary,0,ref_far,1,poisson,3000,-20.87144318845227
primary,1,total_citations,0,poisson,1135,-11.964783021404019
primary,1,total_citations,1,poisson,2080,-15.083357844451273
primary,1,near,0,poisson,955,-1.1560070321144962
primary,1,near,1,poisson,2343,-2.705776060248115
primary,1,intermediate,0,poisson,974,-0.9168015890807835
primary,1,intermediate,1,poisson,2153,-1.4264790445464397
primary,1,far,0,poisson,1199,-3.201407827573208
primary,1,far,1,poisson,1695,-2.6098411849249814
primary,1,unclassified,0,poisson,443,0.30100229222690933
primary,1,unclassified,1,poisson,682,0.37638285264379084
primary,1,any_far,0,binary,337,0.46242968105253707
primary,1,any_far,1,binary,390,0.40923272524852755
primary,1,near_winsorized,0,poisson,1085,-0.8182120565235839
primary,1,near_winsorized,1,poisson,2446,-2.4154725473612184
primary,1,far_winsorized,0,poisson,1080,-2.358658154856611
primary,1,far_winsorized,1,poisson,1953,-2.3047473668865504
primary,1,ref_near,0,poisson,1937,-8.66638173937816
primary,1,ref_near,1,poisson,2275,-14.633982110842116
primary,1,ref_far,0,poisson,2998,-19.02933335168878
primary,1,ref_far,1,poisson,3000,-21.27399445023211
primary,2,total_citations,0,poisson,1570,-12.152203221936864
primary,2,total_citations,1,poisson,2059,-14.379489826897693
primary,2,near,0,poisson,1363,-1.164580168922549
primary,2,near,1,poisson,2399,-2.379241861497871
primary,2,intermediate,0,poisson,1204,-0.8424565262516318
primary,2,intermediate,1,poisson,1789,-1.321564250501782
primary,2,far,0,poisson,1211,-3.314513871706963
primary,2,far,1,poisson,1828,-2.510003829662847
primary,2,unclassified,0,poisson,701,0.3157308891991618
primary,2,unclassified,1,poisson,705,0.36773514711159694
primary,2,any_far,0,binary,387,0.46203059045604666
primary,2,any_far,1,binary,510,0.41755501140000095
primary,2,near_winsorized,0,poisson,1202,-0.7727826923347093
primary,2,near_winsorized,1,poisson,2999,-2.159666729038781
primary,2,far_winsorized,0,poisson,1202,-2.2174627973579737
primary,2,far_winsorized,1,poisson,2059,-2.179898142377914
primary,2,ref_near,0,poisson,1925,-9.38987106355995
primary,2,ref_near,1,poisson,2999,-14.306119825218333
primary,2,ref_far,0,poisson,2999,-21.215526152171304
primary,2,ref_far,1,poisson,2999,-20.91191688093908
primary,3,total_citations,0,poisson,1278,-14.044996561895351
primary,3,total_citations,1,poisson,2012,-14.057012593706025
primary,3,near,0,poisson,1396,-1.5167741779284818
primary,3,near,1,poisson,2080,-2.370386958065706
primary,3,intermediate,0,poisson,1403,-1.174463154544287
primary,3,intermediate,1,poisson,1843,-1.241388479840988
primary,3,far,0,poisson,1114,-3.7569215080312275
primary,3,far,1,poisson,1665,-2.471900528155841
primary,3,unclassified,0,poisson,490,0.33600956061162096
primary,3,unclassified,1,poisson,775,0.36775343447763975
primary,3,any_far,0,binary,357,0.4582205112530993
primary,3,any_far,1,binary,502,0.40986531157610717
primary,3,near_winsorized,0,poisson,1332,-1.131514518195924
primary,3,near_winsorized,1,poisson,2098,-2.1418021336753736
primary,3,far_winsorized,0,poisson,1229,-2.967234681110905
primary,3,far_winsorized,1,poisson,2064,-2.149756960447752
primary,3,ref_near,0,poisson,2102,-10.257672882614939
primary,3,ref_near,1,poisson,2766,-14.126813379025252
primary,3,ref_far,0,poisson,2988,-23.130958302271953
primary,3,ref_far,1,poisson,2995,-20.506155536732777
primary,4,total_citations,0,poisson,1254,-13.358926783893462
primary,4,total_citations,1,poisson,2061,-15.439072628225672
primary,4,near,0,poisson,1168,-1.3919907489537886
primary,4,near,1,poisson,2081,-2.7438448142952074
primary,4,intermediate,0,poisson,1094,-1.010137745964322
primary,4,intermediate,1,poisson,1619,-1.493384562160384
primary,4,far,0,poisson,964,-3.5925477995112103
primary,4,far,1,poisson,1463,-2.7395536163911913
primary,4,unclassified,0,poisson,548,0.3080517410206013
primary,4,unclassified,1,poisson,775,0.36654221300695145
primary,4,any_far,0,binary,358,0.45164853387392123
primary,4,any_far,1,binary,420,0.4123834812696397
primary,4,near_winsorized,0,poisson,1273,-1.0086285417546417
primary,4,near_winsorized,1,poisson,2512,-2.47858742776944
primary,4,far_winsorized,0,poisson,1213,-2.663759630916069
primary,4,far_winsorized,1,poisson,2049,-2.3753098459337028
primary,4,ref_near,0,poisson,1796,-9.979560454847665
primary,4,ref_near,1,poisson,3000,-14.81642778891794
