qwen_macro,display_label,start,end,angle,leaves,papers
19,Synthetic chemistry,1.0326536001726656,1.1344640137963142,1.08355880698449,20,278756
22,Mathematics & physics,0.8750285004183751,1.0226536001726656,0.9488410502955203,29,359552
12,Computing & networks,0.6257740284028008,0.8650285004183751,0.745401264410588,47,681242
24,Astronomy & imaging,0.4121532011555036,0.6157740284028008,0.5139636147791522,40,585940
3,Electrical engineering,0.2799807048071252,0.40215320115550357,0.3410669529813144,24,369203
5,Energy engineering,0.10708404300928748,0.2699807048071252,0.18853237390820635,32,563917
20,Civil engineering,-0.050541056745002734,0.09708404300928748,0.023271493132142374,29,457977
21,Metallurgy & alloys,-0.16744199104983362,-0.060541056745002736,-0.11399152389741818,21,394632
29,Electronic materials,-0.3250670908041241,-0.17744199104983363,-0.25125454092697885,29,469048
7,Electrochemical materials,-0.5997741662256105,-0.3350670908041241,-0.4674206285148673,52,947106
1,Earth & environment,-0.7115845798492592,-0.6097741662256105,-0.6606793730374348,20,370876
26,Climate & agriculture,-0.8488475968788199,-0.7215845798492592,-0.7852160883640396,25,476471
13,Marine & paleoscience,-0.9148433243718267,-0.85884759687882,-0.8868454606253233,11,180396
23,Ecology & taxonomy,-1.0419253000390225,-0.9248433243718267,-0.9833843122054247,23,378216
4,Plant & microbial biology,-1.2962702927357792,-1.0519253000390225,-1.1740977963874009,48,802282
27,Oncology,-1.4640764338524346,-1.3062702927357792,-1.3851733632941068,31,609988
14,Immune disease,-1.5809773681572656,-1.4740764338524346,-1.5275269010048502,21,363991
30,Drug discovery,-1.713149864505644,-1.5909773681572656,-1.6520636163314548,24,430715
9,Cell & neural biology,-1.901318088347029,-1.723149864505644,-1.8122339764263367,35,500233
2,Reproduction & metabolism,-1.9825853778835831,-1.911318088347029,-1.9469517331153061,14,212225
11,Mental health & cognition,-2.150391519000232,-1.9925853778835831,-2.0714884484419076,31,448025
16,Public health & care,-2.3232881807980625,-2.160391519000232,-2.241839849899147,32,487438
31,Chronic & infectious disease,-2.516546925320622,-2.3332881807980623,-2.424917553059342,36,622805
15,Cardiovascular medicine,-2.679262545756088,-2.5265469253206216,-2.6029047355383548,30,500643
6,Clinical diagnostics,-2.816525562785643,-2.6892625457560877,-2.7528940542708655,25,361206
17,Surgery,-2.9436075384528335,-2.8265255627856427,-2.8850665506192383,23,403538
25,Orthopedics & sports,-3.0350558693517486,-2.9536075384528333,-2.994331703902291,16,285521
0,Economics & policy,-3.27921982068613,-3.0450558693517484,-3.1621378450189392,46,591100
28,Education & language,-3.462297523846325,-3.28921982068613,-3.3757586722662274,34,534348
10,Social behavior & violence,-3.574107937469969,-3.4722975238463247,-3.523202730658147,20,304681
8,Humanities & politics,-3.86408657493499,-3.5841079374699687,-3.7240972562024792,55,633143
18,Mixed records,-4.266056667386043,-3.87408657493499,-4.070071621160516,77,512037
