qwen_leaf,broader,middle,narrower,qwen_macro,total,angle
0,1668,2342,4009,11,8019,-2.0613074070795436
1,1809,2594,6378,21,10781,-0.06817683776677637
2,2706,2198,8249,2,13153,-1.9749495968618094
3,2094,970,3038,12,6102,0.745401264410588
4,2852,2962,8080,26,13894,-0.8208497331323166
5,3952,5438,11212,16,20602,-2.305471358413925
6,2963,4208,11898,7,19069,-0.581957343841472
7,1084,905,1946,18,3935,-4.085343183204059
8,4370,5011,8026,6,17407,-2.71726040950259
9,2553,5425,5397,14,13375,-1.52752690100485
10,2863,1085,7341,24,11289,0.4605131476267367
11,2866,3825,7972,8,14663,-3.7240972562024797
12,4965,2010,6247,12,13222,0.6435908507869393
13,0,4,30,6,34,-2.813980302445052
14,4534,10563,11653,1,26750,-0.6988582781463031
15,1303,6597,6269,19,14169,1.1268282327745407
16,2385,4858,7302,31,14545,-2.4834585408929377
17,3187,1262,5153,24,9602,0.5317804371632907
18,1855,3067,2350,18,7272,-4.248239845001904
19,2172,8464,6866,30,17502,-1.690242521440323
20,5455,13438,8403,20,27296,-0.017452672317316988
21,6527,2972,8112,12,17611,0.7963064712224123
22,1118,3269,2973,11,7360,-2.0307642829924504
23,3049,3457,5942,28,12448,-3.35794184988209
24,5604,3206,9167,24,17977,0.5775951232939326
25,2196,2569,5614,0,10379,-3.0934158158229796
26,3583,3979,8341,4,15903,-1.1919146187715393
27,4990,4178,6617,9,15785,-1.7511477282521473
28,3187,6429,8147,15,17763,-2.6105405165601283
29,1481,2369,5943,11,9793,-2.0358548036736326
30,2962,4026,9029,5,16017,0.22162075833589212
31,4100,6108,5972,0,16180,-3.2563124776208103
32,24,20906,116,30,21046,-1.6953330421215054
33,3148,1662,5659,5,10469,0.15035346879933809
34,450,435,947,18,1832,-3.9275370420874034
35,2840,5198,5721,20,13759,-0.012362151636134565
36,2641,2782,5467,6,10890,-2.76307509563323
37,5699,3076,10802,11,19577,-2.1376652172972768
38,8662,8131,15887,31,32680,-2.4987301029364843
39,4974,6712,8975,31,20661,-2.514001664980031
40,3430,12677,11574,27,27681,-1.3699018012505595
41,3779,5567,10363,13,19709,-0.871573898581776
42,2957,2574,11515,19,17046,1.060651463919169
43,2378,1488,6693,13,10559,-0.8868454606253233
44,2408,2817,7975,7,13200,-0.3630649545506275
45,1835,2800,5053,8,9688,-3.6935541321153864
46,4793,3430,8679,21,16902,-0.13435360662214782
47,3973,4682,7577,17,16232,-2.9359717574310604
48,2608,10657,7074,4,20339,-1.2580913876269109
49,1695,5124,5422,15,12241,-2.574906871791853
50,632,293,838,18,1763,-3.9529896454933144
51,2518,2293,4327,12,9138,0.6639529335116691
52,1608,1963,2847,11,6418,-2.091850531166637
53,3104,2686,5060,12,10850,0.8319401159906893
54,4221,1647,4245,12,10113,0.8064875125847771
55,1904,4187,6143,15,12234,-2.676717285415497
56,399,524,1281,18,2204,-4.1515199520594335
57,445,448,874,18,1767,-3.891903397319128
58,4121,3556,9788,4,17465,-1.1817335774091744
59,5357,7145,13004,4,25506,-1.0646516017419785
60,4152,14113,9590,30,27855,-1.608794190541404
61,2353,5070,11553,7,18976,-0.4139701613624518
62,4665,2262,4202,12,11129,0.7046770989611285
63,10986,3531,13247,12,27764,0.781034909178865
64,4455,3823,9963,6,18241,-2.7325319715461367
65,3949,4360,6163,3,14472,0.31815960991599346
