test,modifier,level,order,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,n,n_broad,n_specialized,journals
paper_venue_fit,reference_entropy_quartile,1,1,estimated,-0.14104639442645284,0.04842163370756691,-0.235952796493284,-0.046139992359621684,-0.23504309005231205,-0.046051366806468305,1.0579506709355213,0.9187762229261538,959091,402766,556325,17497
paper_venue_fit,reference_entropy_quartile,2,2,estimated,-0.1136053568253318,0.03380003308229341,-0.17985342166662688,-0.04735729198403671,-0.17964149359292922,-0.04562672668899222,1.1921217721268256,1.0640999925077148,956147,366079,590068,18045
paper_venue_fit,reference_entropy_quartile,3,3,estimated,-0.07140997491142331,0.02531600620782802,-0.12102934707876623,-0.021790602744080394,-0.11691471472922352,-0.024010020088016882,1.3447269146082503,1.2520484625821795,957588,372384,585204,18075
paper_venue_fit,reference_entropy_quartile,4,4,estimated,-0.05953359886099796,0.032102631240370536,-0.12245475609212421,0.003387558370128288,-0.12296299036718851,0.0023560672566838633,1.8837383894702902,1.7748656120840134,954665,394614,560051,17795
author_audience_breadth,author_breadth_quartile,1,1,estimated,-0.02651084468245335,0.038356217939075066,-0.10168903184304048,0.048667342478133785,-0.09909963383265545,0.046758286876731434,1.2155900341231667,1.1837871389715915,754268,265885,488383,17470
author_audience_breadth,author_breadth_quartile,2,2,estimated,-0.08340873738197419,0.038405349918371134,-0.1586832232219816,-0.008134251541966758,-0.16078904884511153,-0.004744989188973573,1.4688952231164607,1.3513469448314135,754267,277320,476947,17397
author_audience_breadth,author_breadth_quartile,3,3,estimated,-0.1263530340709046,0.028764215832156638,-0.1827308971019316,-0.06997517103987758,-0.185170717631626,-0.07637701117546901,1.594222250119881,1.4049939064951,754268,304947,449321,17451
author_audience_breadth,author_breadth_quartile,4,4,estimated,-0.07493352803467879,0.0248425794671647,-0.1236249837903216,-0.02624207227903598,-0.12421081797919192,-0.026158512467127876,1.4138166213788002,1.311746352807372,754267,350684,403583,17592
author_publication_experience,author_works_quartile,1,1,estimated,-0.13699449513076295,0.047912553807849166,-0.23090310059414731,-0.043085889667378585,-0.23447243981316065,-0.043938774157227765,1.368983893732962,1.1937197666426804,956873,417530,539343,18569
author_publication_experience,author_works_quartile,2,2,estimated,-0.09042606873339132,0.019538971712719122,-0.12872245329032078,-0.05212968417646184,-0.12774083689484259,-0.05395897102767875,1.3738386259698394,1.2550591084248675,956873,410484,546389,18204
author_publication_experience,author_works_quartile,3,3,estimated,-0.07914689816524867,0.029584983109517758,-0.13713346505990348,-0.021160331270593864,-0.1370242802782254,-0.021803169846950944,1.4817201317004225,1.3689674449680256,956873,367919,588954,17336
author_publication_experience,author_works_quartile,4,4,estimated,-0.06604619205993023,0.035947271767026424,-0.13650284472330204,0.0044104606034415655,-0.13590516712431103,0.009122932282749217,1.4083086786286017,1.318300324099949,956872,339910,616962,16451
semantic_domain,qwen_macro,0,1,estimated,-0.1717106322597146,0.058798167181949836,-0.2869550399363363,-0.05646622458309293,-0.288853890912506,-0.04981421573814256,1.5146756428385453,1.275694436787983,143883,63093,80790,8963
semantic_domain,qwen_macro,1,2,estimated,-0.09744618594330312,0.12685972836075038,-0.34609125353037384,0.15119888164376763,-0.33838348755495296,0.13042749191122005,1.270427146811237,1.1524694570365133,82602,35590,47012,5733
semantic_domain,qwen_macro,2,3,estimated,-0.0818456762047633,0.06952512757070378,-0.2181149262433427,0.0544235738338161,-0.20600931790748434,0.04014915063755195,1.8844330786790087,1.736343291838263,54343,25578,28765,4108
semantic_domain,qwen_macro,3,4,estimated,-0.07398016987673828,0.10174829653338963,-0.27340683108218194,0.1254464913287054,-0.2607893283402432,0.13338071562897244,1.0605264135719525,0.9849003913578052,74970,34296,40674,3384
semantic_domain,qwen_macro,4,5,estimated,-0.1845601385200215,0.061068369390640594,-0.30425414252567706,-0.06486613451436594,-0.305620138106835,-0.05684187746110168,1.7387086893412471,1.4456840009530565,206651,84863,121788,6568
